CH, Rate, R403422c8, lb0_tmx_cbit, lb0_padrv_cbit, lb1_tmx_cbit, lb1_padrv_cbit, hb0_tmx_cbit, hb0_padrv_cbit, hb1_tmx_cbit, hb1_padrc_cbit
7,5 11,0xC93F434C,6,2,6,2,16,16,16,16
7,5 11,0xC93F434C,6,2,6,2,16,16,16,16
7,5 11,0xC93F434C,6,2,6,2,16,16,16,16
7,5 11,0xC93F4355,6,2,6,2,16,16,16,16
7,5 11,0xC93F4360,6,2,6,2,16,16,16,16
7,5 11,0xC93F436B,6,2,6,2,16,16,16,16
7,5 11,0xCA3F454C,6,2,6,2,16,16,16,16
7,5 11,0xCA3F4555,6,2,6,2,16,16,16,16
7,5 11,0xCA3F4560,6,2,6,2,16,16,16,16
7,5 11,0xCA3F456B,6,2,6,2,16,16,16,16
7,5 11,0xCB3F474C,6,2,6,2,16,16,16,16
7,5 11,0xCB3F4755,6,2,6,2,16,16,16,16
7,5 11,0xCB3F475F,6,2,6,2,16,16,16,16
7,5 11,0xCB3F476B,6,2,6,2,16,16,16,16
7,5 11,0xCC3F4961,5,2,5,2,16,16,16,16
7,5 11,0xCC3F496D,5,2,5,2,16,16,16,16
7,5 11,0xCC3F497A,5,2,5,2,16,16,16,16
7,5 11,0xCC3F4989,5,2,5,2,16,16,16,16
7,5 11,0xD53F4B86,9,2,9,2,16,16,16,16
7,5 11,0xD53F4B96,9,2,9,2,16,16,16,16
7,5 11,0xD53F4BA9,9,2,9,2,16,16,16,16
7,5 11,0xD53F4BBD,9,2,9,2,16,16,16,16
7,5 11,0xDE3F4D92,8,2,8,2,16,16,16,16
7,5 11,0xDE3F4DA4,8,2,8,2,16,16,16,16
7,5 11,0xDE3F4DB8,8,2,8,2,16,16,16,16
7,5 0,0xC93F634C,6,5,6,5,16,16,16,16
7,5 0,0xC93F634C,6,5,6,5,16,16,16,16
7,5 0,0xC93F6355,6,5,6,5,16,16,16,16
7,5 0,0xC93F635F,6,5,6,5,16,16,16,16
7,5 0,0xC93F636B,6,5,6,5,16,16,16,16
7,5 0,0xCA3F654C,6,5,6,5,16,16,16,16
7,5 0,0xCA3F6555,6,5,6,5,16,16,16,16
7,5 0,0xCA3F655F,6,5,6,5,16,16,16,16
7,5 0,0xCA3F656B,6,5,6,5,16,16,16,16
7,5 0,0xCB3F674C,6,4,6,4,16,16,16,16
7,5 0,0xCB3F6755,6,4,6,4,16,16,16,16
7,5 0,0xCB3F675F,6,4,6,4,16,16,16,16
7,5 0,0xCB3F676B,6,4,6,4,16,16,16,16
7,5 0,0xCC3F6961,6,4,6,4,16,16,16,16
7,5 0,0xCC3F696D,6,4,6,4,16,16,16,16
7,5 0,0xCC3F697A,6,4,6,4,16,16,16,16
7,5 0,0xCC3F6989,6,4,6,4,16,16,16,16
7,5 0,0xD0FFEB62,6,2,6,2,16,16,16,16
7,5 0,0xD0FFEB6E,6,2,6,2,16,16,16,16
7,5 0,0xD0FFEB7B,6,2,6,2,16,16,16,16
7,5 0,0xD0FFEB8A,6,2,6,2,16,16,16,16
7,5 0,0xD8FFED8A,6,1,6,1,16,16,16,16
7,5 0,0xD8FFED9B,6,1,6,1,16,16,16,16
7,5 0,0xD8FFEDAE,6,1,6,1,16,16,16,16
7,5 0,0xD8FFEDC4,6,1,6,1,16,16,16,16
7,0 3,0xC0FFD068,6,1,6,1,16,16,16,16
7,0 3,0xC0FFD068,6,1,6,1,16,16,16,16
7,0 3,0xC0FFD068,6,1,6,1,16,16,16,16
7,0 3,0xC03F515D,6,1,6,1,16,16,16,16
7,0 3,0xC03F5168,6,1,6,1,16,16,16,16
7,0 3,0xC13F525D,6,1,6,1,16,16,16,16
7,0 3,0xC13F5268,6,1,6,1,16,16,16,16
7,0 3,0xC13F535D,6,1,6,1,16,16,16,16
7,0 3,0xC13F5368,6,1,6,1,16,16,16,16
7,0 3,0xC23F545D,6,1,6,1,16,16,16,16
7,0 3,0xC23F5468,6,1,6,1,16,16,16,16
7,0 3,0xC23F555D,6,1,6,1,16,16,16,16
7,0 3,0xC23F5568,6,1,6,1,16,16,16,16
7,0 3,0xC33F565D,6,1,6,1,16,16,16,16
7,0 3,0xC33F5668,6,1,6,1,16,16,16,16
7,0 3,0xC33F575D,6,1,6,1,16,16,16,16
7,0 3,0xC33F5768,6,1,6,1,16,16,16,16
7,0 3,0xC43F585D,6,1,6,1,16,16,16,16
7,0 3,0xC43F5868,6,1,6,1,16,16,16,16
7,0 3,0xC43F595E,6,1,6,1,16,16,16,16
7,0 3,0xC43F5969,6,1,6,1,16,16,16,16
7,0 3,0xC53F5A6C,10,1,10,1,16,16,16,16
7,0 3,0xC53F5A79,10,1,10,1,16,16,16,16
7,0 3,0xC53F5B69,10,1,10,1,16,16,16,16
7,0 3,0xC53F5B76,10,1,10,1,16,16,16,16
42,5 11,0xC23F5579,8,8,8,8,7,15,7,15
42,5 11,0xC23F5587,8,8,8,8,7,15,7,15
42,5 11,0xC23F5598,8,8,8,8,7,15,7,15
42,5 11,0xC23F55AB,8,8,8,8,7,15,7,15
42,5 11,0xC33F5779,8,8,8,8,7,15,7,15
42,5 11,0xC33F5788,8,8,8,8,7,15,7,15
42,5 11,0xC33F5798,8,8,8,8,7,15,7,15
42,5 11,0xC33F57AB,8,8,8,8,7,15,7,15
42,5 11,0xD43F596F,8,8,8,8,7,15,7,15
42,5 11,0xD43F597D,8,8,8,8,7,15,7,15
42,5 11,0xD43F598C,8,8,8,8,7,15,7,15
42,5 11,0xD43F599D,8,8,8,8,7,15,7,15
42,5 11,0xD53F5B66,8,8,8,8,7,15,7,15
42,5 11,0xD53F5B72,8,8,8,8,7,15,7,15
42,5 11,0xD53F5B80,8,8,8,8,7,15,7,15
42,5 11,0xD53F5B90,8,8,8,8,7,15,7,15
42,5 11,0xDE3F5D5F,8,8,8,8,7,15,7,15
42,5 11,0xDE3F5D6B,8,8,8,8,7,15,7,15
42,5 11,0xDE3F5D78,8,8,8,8,7,15,7,15
42,5 11,0xDE3F5D86,8,8,8,8,7,15,7,15
42,5 11,0xDF3F5F87,8,8,8,8,4,18,4,18
42,5 11,0xDF3F5F97,8,8,8,8,4,18,4,18
42,5 11,0xDF3F5FAA,8,8,8,8,4,18,4,18
42,5 11,0xDF3F5FBF,8,8,8,8,4,18,4,18
42,5 11,0xDF3F5FBF,8,8,8,8,4,18,4,18
58,5 11,0xC23F5587,8,8,8,8,6,13,6,13
58,5 11,0xC23F5598,8,8,8,8,6,13,6,13
58,5 11,0xC23F55AB,8,8,8,8,6,13,6,13
58,5 11,0xC33F5779,8,8,8,8,6,13,6,13
58,5 11,0xC33F5788,8,8,8,8,6,13,6,13
58,5 11,0xC33F5798,8,8,8,8,6,13,6,13
58,5 11,0xC33F57AB,8,8,8,8,6,13,6,13
58,5 11,0xD43F596F,8,8,8,8,6,13,6,13
58,5 11,0xD43F597D,8,8,8,8,6,13,6,13
58,5 11,0xD43F598C,8,8,8,8,6,13,6,13
